77985,forearm with stick | egyptian hieroglyph d040
77986,forearm with palm down and bent upper arm | egyptian hieroglyph d041
77987,forearm with palm down and straight upper arm | egyptian hieroglyph d042
77988,forearm with flail | egyptian hieroglyph d043
77989,arm with sekhem scepter | egyptian hieroglyph d044
77990,arm with wand | egyptian hieroglyph d045
77991,hand | egyptian hieroglyph d046
77992,liquid falling from hand | egyptian hieroglyph d046a
77993,hand with palm up | egyptian hieroglyph d047
77994,hand without thumb | egyptian hieroglyph d048
77995,hand holding egg | egyptian hieroglyph d048a
77996,fist | egyptian hieroglyph d049
77997,one finger | egyptian hieroglyph d050
77998,two fingers | egyptian hieroglyph d050a
77999,three fingers | egyptian hieroglyph d050b
78000,four fingers | egyptian hieroglyph d050c
78001,five fingers | egyptian hieroglyph d050d
78002,six fingers | egyptian hieroglyph d050e
78003,seven fingers | egyptian hieroglyph d050f
78004,eight fingers | egyptian hieroglyph d050g
78005,nine fingers | egyptian hieroglyph d050h
78006,five fingers (row) | egyptian hieroglyph d050i
78007,one finger (horizontal) | egyptian hieroglyph d051
78008,penis, phallus | egyptian hieroglyph d052
78009,penis, phallus with folded cloth | egyptian hieroglyph d052a
78010,penis, phallus with emission | egyptian hieroglyph d053
78011,legs walking | egyptian hieroglyph d054
78012,hieratic legs walking | egyptian hieroglyph d054a
78013,legs walking backwards | egyptian hieroglyph d055
78014,leg | egyptian hieroglyph d056
78015,leg with knife | egyptian hieroglyph d057
78016,foot | egyptian hieroglyph d058
78017,foot and forearm | egyptian hieroglyph d059
78018,foot under vase from which water flows | egyptian hieroglyph d060
78019,three toes oriented leftward | egyptian hieroglyph d061
78020,three toes oriented rightward | egyptian hieroglyph d062
78021,two toes oriented leftward | egyptian hieroglyph d063
78022,hand with palm down | egyptian hieroglyph d064
78023,lock of hair | egyptian hieroglyph d065
78024,arm with reed pen | egyptian hieroglyph d066
78025,one dot | egyptian hieroglyph d067
78026,two dots | egyptian hieroglyph d067a
78027,three dots | egyptian hieroglyph d067b
78028,four dots | egyptian hieroglyph d067c
78029,five dots | egyptian hieroglyph d067d
78030,six dots | egyptian hieroglyph d067e
78031,seven dots | egyptian hieroglyph d067f
78032,eight dots | egyptian hieroglyph d067g
78033,nine dots | egyptian hieroglyph d067h
78034,bull | egyptian hieroglyph e001
